Name,BW Total Weight Moved (Part 1) (lbs),BW Total weight Moved (Part 2) (lbs),BW Distance Moved (Part 1) (feet),BW Distance Moved (Part 2) (feet),Weight Distance Moved (feet),"BW Work Done Per Rep
(ft-lbs)",,,,,,,,
Empty,0,,0,,,0,,,,,,,,
Back Extension,torso+neck,,1/2*(neck+torso)/12,,,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Bench Press,humerus+forearm+hand,,((humerus+forearm)/2)/12,,(forearm+0.5*humerus)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Box Jump,weight,,,,,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,femur
Burpee,femur+pelvis+torso+neck+humerus+forearm+hand,weight-foot-forearm-hand,((neck+torso)/12)/2,humerus/12,,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,pelvis
Clean & Jerk (Power Clean),femur+pelvis+torso+neck+humerus+forearm+hand,femur+pelvis+torso+neck+humerus+forearm+hand,0.5*tibia/12,((pelvis / 12) * 2),(overhead_height-0.5*plate_diameter)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,torso
Deadlift,femur+pelvis+torso+neck+humerus+forearm+hand,,0.5*tibia/12,,(acromion_height-humerus-forearm-ankle-(0.5*tibia)-((plate_diameter)/2))/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,neck
Dip,weight-foot-forearm-hand,,humerus/12,,humerus/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,weight
Double Under,weight,,ankle/12 * 2,,(height*2)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,hand
Empty,0,,0,,,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,forearm
Front Squat,femur+pelvis+torso+neck+humerus+forearm+hand,,((neck+torso)/12)/2,,(femur)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,humerus
GHD Situp,neck+torso+pelvis,,(neck+torso)/12,,,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,tibia
Handstand Pushup,weight-forearm-hand,,(overhead_height-height)/12,,(overhead_height-height)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,foot
Hang Power Clean,femur+pelvis+torso+neck+humerus+forearm+hand,,pelvis/12,,(pelvis+torso)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,height
Hang Power Snatch,femur+pelvis+torso+neck+humerus+forearm+hand,,pelvis/12,,(overhead_height+pelvis-femur-tibia-ankle)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,plate_diameter
Hang Squat Clean,femur+pelvis+torso+neck+humerus+forearm+hand,femur+pelvis+torso+neck+humerus+forearm+hand,pelvis/12,((neck+torso)/12)/2,(pelvis+torso)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Hang Squat Snatch,femur+pelvis+torso+neck+humerus+forearm+hand,femur+pelvis+torso+neck+humerus+forearm+hand,pelvis/12,,(overhead_height+pelvis-femur-tibia-ankle)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Hip & Back Extension,neck+torso+pelvis,,((neck+torso+pelvis)/2)/12,,,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Hip Extension,neck+torso,,((neck+torso+pelvis)/2)/12,,,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Kettlebell Swing,femur+pelvis+torso+neck+humerus+forearm+hand,,pelvis/12,,(height-femur-tibia-ankle)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Knees to Elbows,weight-hand-forearm,,((acromion_height-(ankle+tibia)-humerus)/2)/12,,,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
L-Pullup,weight-hand-forearm,,(humerus+forearm)/12,,(humerus+forearm)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Medicine Ball Clean,femur+pelvis+torso+neck+humerus+forearm+hand,femur+pelvis+torso+neck+humerus+forearm+hand,0.5*tibia/12,((neck+torso)/12)/2,,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
Muscle up,weight,,((humerus+forearm)*2)/12,,((humerus+forearm)*2)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
OHS,femur+pelvis+torso+neck+humerus+forearm+hand,,((neck+torso)/12)/2,,(femur)/12,weight_moved_1*bw_dist_moved_1+weight_moved_2*bw_dist_moved_2,,,,,,,,
